query,size,is_adversarial,answer_q_cos,mean_chunk_q_cos,is_refusal,top_score
What trials use pembrolizumab in non-small cell lung cancer?,500,False,0.976,0.948,False,0.95
What trials use pembrolizumab in non-small cell lung cancer?,1000,False,0.977,0.945,False,0.947
What trials use pembrolizumab in non-small cell lung cancer?,1500,False,0.981,0.943,False,0.946
Which trials target the BRAF V600E mutation?,500,False,0.969,0.929,False,0.935
Which trials target the BRAF V600E mutation?,1000,False,0.972,0.927,False,0.935
Which trials target the BRAF V600E mutation?,1500,False,0.97,0.923,False,0.929
Are there trials studying antibody drug conjugates for HER2 positive cancer?,500,False,0.941,0.936,False,0.941
Are there trials studying antibody drug conjugates for HER2 positive cancer?,1000,False,0.944,0.931,True,0.937
Are there trials studying antibody drug conjugates for HER2 positive cancer?,1500,False,0.861,0.93,True,0.935
What are reported hazard ratios for overall survival in phase 3 oncology trials?,500,False,0.874,0.93,True,0.937
What are reported hazard ratios for overall survival in phase 3 oncology trials?,1000,False,0.874,0.924,True,0.926
What are reported hazard ratios for overall survival in phase 3 oncology trials?,1500,False,0.874,0.922,True,0.925
What are the eligibility criteria for trials enrolling patients age 65 and older?,500,False,0.966,0.947,True,0.949
What are the eligibility criteria for trials enrolling patients age 65 and older?,1000,False,0.965,0.943,True,0.947
What are the eligibility criteria for trials enrolling patients age 65 and older?,1500,False,0.968,0.94,False,0.944
What trials use CAR-T cell therapy for leukemia or lymphoma?,500,False,0.936,0.934,True,0.938
What trials use CAR-T cell therapy for leukemia or lymphoma?,1000,False,0.933,0.931,True,0.936
What trials use CAR-T cell therapy for leukemia or lymphoma?,1500,False,0.938,0.928,True,0.929
best Italian restaurant in Boston,500,True,0.781,0.833,True,0.834
best Italian restaurant in Boston,1000,True,0.781,0.831,True,0.834
best Italian restaurant in Boston,1500,True,0.781,0.831,True,0.835
treatment for the common cold,500,True,0.931,0.902,False,0.905
treatment for the common cold,1000,True,0.834,0.899,True,0.903
treatment for the common cold,1500,True,0.834,0.897,True,0.898
how do I file my taxes,500,True,0.822,0.871,True,0.879
how do I file my taxes,1000,True,0.822,0.865,True,0.868
how do I file my taxes,1500,True,0.822,0.864,True,0.868
what is the capital of France,500,True,0.784,0.848,True,0.851
what is the capital of France,1000,True,0.784,0.841,True,0.846
what is the capital of France,1500,True,0.784,0.844,True,0.847
